66.1, 220.0
47.3, 259.0
89.0, 405.0
67.64, 400.0
124.0, 599.0
90.54, 435.0
101.39, 410.0
120.74, 500.0
108.63, 580.0
88.79, 480.0
134.72, 625.0
84.11, 520.0
125.0, 620.0
180.8, 900.0
124.66, 538.0
63.0, 375.0
161.99, 800.0
95.4, 460.0
103.27, 430.0
58.0, 350.0
63.11, 375.0
101.59, 290.0
46.08, 305.0
101.93, 430.0
104.24, 450.0
131.78, 520.0
118.14, 440.0
79.34, 460.0
87.0, 440.0
94.27, 560.0
94.94, 450.0
124.0, 560.0
139.98, 660.0
191.51, 820.0
129.99, 550.0
70.48, 360.0
61.57, 415.0
99.87, 480.0
123.84, 540.0
63.0, 355.0
70.2, 370.0
86.0, 610.0
79.57, 550.0
115.26, 520.0
165.2, 730.0
97.9, 492.0
119.75, 470.0
66.21, 399.0
116.39, 540.0
118.61, 530.0
103.4, 466.0
107.88, 598.0
90.12, 530.0
99.27, 450.0
114.24, 600.0
70.48, 365.0
96.05, 400.0
106.48, 540.0
109.16, 580.0
98.32, 660.0
181.51, 500.0
97.87, 459.0
98.0, 510.0
92.19, 408.0
99.66, 480.0
82.87, 415.0
98.0, 500.0
108.0, 590.0
86.0, 568.0
95.0, 445.0
55.03, 288.0
56.5, 202.0
94.0, 685.0
106.53, 540.0
134.13, 550.0
138.7, 585.0
55.0, 290.0
134.0, 480.0
59.0, 320.0
89.36, 515.0
71.24, 390.0
85.4, 395.0
124.42, 500.0
125.02, 572.0
126.43, 560.0
80.38, 442.0
125.0, 580.0
70.0, 240.0
63.0, 359.0
106.5, 520.0
56.84, 225.0
78.0, 410.0
99.73, 390.0
140.38, 650.0
101.97, 460.0
79.58, 550.0
74.6, 370.0
98.35, 500.0
90.21, 515.0
118.0, 450.0
124.2, 556.0
48.95, 305.0
66.21, 415.0
104.83, 526.0
102.14, 400.0
104.69, 525.0
74.5, 455.0
121.85, 490.0
127.0, 650.0
139.98, 660.0
118.03, 550.0
125.65, 525.0
124.26, 510.0
70.35, 370.0
93.6, 458.0
118.62, 510.0
123.53, 500.0
89.0, 435.0
116.0, 800.0
110.0, 620.0
111.87, 500.0
143.71, 560.0
90.4, 430.0
85.41, 430.0
80.63, 440.0
88.0, 460.0
47.74, 245.0
89.95, 440.0
122.13, 575.0
128.94, 680.0
68.25, 350.0
112.0, 525.0
67.0, 375.0
122.23, 528.0
119.0, 520.0
85.36, 400.0
118.4, 560.0
87.59, 456.0
141.5, 538.0
163.54, 680.0
98.83, 430.0
79.02, 315.0
125.83, 520.0
121.95, 520.0
125.0, 550.0
92.72, 478.0
91.0, 490.0
141.05, 520.0
87.0, 450.0
155.9, 675.0
116.17, 520.0
109.41, 510.0
187.96, 660.0
110.07, 535.0
103.27, 450.0
99.04, 465.0
89.71, 560.0
91.6, 550.0
99.91, 438.0
120.0, 560.0
119.87, 599.0
98.83, 500.0
109.67, 558.0
81.28, 210.0
46.19, 250.0
77.0, 306.0
79.91, 290.0
96.35, 425.0
85.79, 490.0
124.0, 730.0
53.0, 218.0
146.79, 610.0
66.21, 405.0
72.0, 560.0
134.13, 530.0
122.19, 500.0
146.6, 480.0
148.71, 635.0
97.0, 520.0
106.09, 520.0
139.23, 660.0
160.85, 900.0
97.4, 456.0
100.49, 540.0
142.99, 500.0
47.0, 315.0
83.75, 320.0
86.62, 425.0
140.58, 660.0
154.9, 520.0
92.35, 420.0
124.35, 510.0
102.06, 550.0
90.3, 480.0
126.28, 460.0
92.59, 448.0
120.21, 580.0
93.0, 530.0
120.84, 498.0
111.47, 600.0
117.32, 480.0
96.73, 450.0
87.4, 480.0
87.0, 470.0
185.16, 650.0
98.93, 425.0
114.45, 620.0
70.12, 370.0
166.59, 660.0
112.12, 495.0
97.99, 660.0
63.11, 398.0
118.0, 450.0
103.14, 470.0
80.0, 395.0
87.0, 500.0
100.42, 550.0
87.0, 500.0
89.84, 560.0
115.71, 505.0
59.18, 360.0
88.58, 460.0
52.83, 206.0
91.84, 500.0
80.07, 395.0
98.04, 505.0
124.1, 580.0
99.91, 438.0
136.48, 580.0
130.01, 615.0
